,id,pred_lgb,pred_svr,pred_ridge,pred_enet,pred_lasso,pred_voting,pred_stacking
0,1461,116148.83909773728,116148.83909773728,116148.83909773728,116148.83909773728,116148.83909773728,116148.83909773728,116148.83909773728
1,1462,160039.44710914462,160039.44710914462,160039.44710914462,160039.44710914462,160039.44710914462,160039.44710914462,160039.44710914462
2,1463,188102.3566003545,188102.3566003545,188102.3566003545,188102.3566003545,188102.3566003545,188102.3566003545,188102.3566003545
3,1464,192679.2027388895,192679.2027388895,192679.2027388895,192679.2027388895,192679.2027388895,192679.2027388895,192679.2027388895
4,1465,192341.38687244212,192341.38687244212,192341.38687244212,192341.38687244212,192341.38687244212,192341.38687244212,192341.38687244212
5,1466,177589.60935588257,177589.60935588257,177589.60935588257,177589.60935588257,177589.60935588257,177589.60935588257,177589.60935588257
6,1467,174851.01730477388,174851.01730477388,174851.01730477388,174851.01730477388,174851.01730477388,174851.01730477388,174851.01730477388
7,1468,168036.6656468751,168036.6656468751,168036.6656468751,168036.6656468751,168036.6656468751,168036.6656468751,168036.6656468751
8,1469,169109.3304257142,169109.3304257142,169109.3304257142,169109.3304257142,169109.3304257142,169109.3304257142,169109.3304257142
9,1470,131503.08945611253,131503.08945611253,131503.08945611253,131503.08945611253,131503.08945611253,131503.08945611253,131503.08945611253
10,1471,195416.89166442084,195416.89166442084,195416.89166442084,195416.89166442084,195416.89166442084,195416.89166442084,195416.89166442084
11,1472,96477.57013795906,96477.57013795906,96477.57013795906,96477.57013795906,96477.57013795906,96477.57013795906,96477.57013795906
12,1473,99268.7323281097,99268.7323281097,99268.7323281097,99268.7323281097,99268.7323281097,99268.7323281097,99268.7323281097
13,1474,152178.7326433575,152178.7326433575,152178.7326433575,152178.7326433575,152178.7326433575,152178.7326433575,152178.7326433575
14,1475,124377.207493778,124377.207493778,124377.207493778,124377.207493778,124377.207493778,124377.207493778,124377.207493778
15,1476,371009.19980204664,371009.19980204664,371009.19980204664,371009.19980204664,371009.19980204664,371009.19980204664,371009.19980204664
16,1477,245236.40326280292,245236.40326280292,245236.40326280292,245236.40326280292,245236.40326280292,245236.40326280292,245236.40326280292
17,1478,301390.8002629891,301390.8002629891,301390.8002629891,301390.8002629891,301390.8002629891,301390.8002629891,301390.8002629891
18,1479,276608.07247125666,276608.07247125666,276608.07247125666,276608.07247125666,276608.07247125666,276608.07247125666,276608.07247125666
19,1480,545173.9571118127,545173.9571118127,545173.9571118127,545173.9571118127,545173.9571118127,545173.9571118127,545173.9571118127
20,1481,294179.19994068716,294179.19994068716,294179.19994068716,294179.19994068716,294179.19994068716,294179.19994068716,294179.19994068716
21,1482,205004.8264617217,205004.8264617217,205004.8264617217,205004.8264617217,205004.8264617217,205004.8264617217,205004.8264617217
22,1483,170686.776772876,170686.776772876,170686.776772876,170686.776772876,170686.776772876,170686.776772876,170686.776772876
23,1484,172418.48406585897,172418.48406585897,172418.48406585897,172418.48406585897,172418.48406585897,172418.48406585897,172418.48406585897
24,1485,177027.33156381026,177027.33156381026,177027.33156381026,177027.33156381026,177027.33156381026,177027.33156381026,177027.33156381026
